name,mA,aA,mB,aB,mC,aC
146,7178.5774789916,-0.179428571428571,7175.88410084034,239.792033613445,7178.1683697479,119.774084033613
147,7178.41247058824,-0.180873949579832,7175.83973109244,239.790050420168,7178.13865546218,119.773714285714
148,7181.91805042017,-0.170117647058824,7178.2628907563,239.855798319328,7176.05082352941,119.779663865546
149,7181.91700840336,-0.171294117647059,7178.25045378151,239.856806722689,7175.76242016807,119.77731092437
150,7179.24450420168,-0.173714285714286,7176.12413445378,239.801512605042,7178.17005042017,119.777008403361
151,7181.91949579832,-0.168806722689076,7178.27774789916,239.854823529412,7176.36954621849,119.782655462185
152,NA,NA,7176.22077310924,239.806588235294,NA,NA
153,NA,NA,7176.20850420168,239.806420168067,NA,NA
154,7181.59095798319,-0.165243697478992,7177.97781512605,239.84487394958,7177.45354621849,119.789680672269
155,7182.60554621849,-0.158151260504202,7179.04460504202,239.862487394958,7177.68678991597,119.80181512605
156,7181.91757983193,-0.167361344537815,7178.29220168067,239.853781512605,7176.63048739496,119.785378151261
157,NA,NA,7176.24016806723,239.806756302521,NA,NA
158,7178.73018487395,-0.177579831932773,7175.89304201681,239.793411764706,7178.23005042017,119.774722689076
159,7178.24413445378,-0.182756302521008,7175.80682352941,239.788403361345,7178.09542857143,119.773210084034
160,7180.94833613445,-0.168067226890756,NA,NA,NA,NA
161,7180.90709243697,-0.168504201680672,NA,NA,NA,NA
162,7181.00594957983,-0.167529411764706,NA,NA,NA,NA
163,7181.06722689076,-0.166890756302521,NA,NA,NA,NA
164,NA,NA,7175.18981512605,239.775294117647,NA,NA
165,7184.71068907563,-0.133445378151261,7181.18181512605,239.888201680672,7179.14097478992,119.838957983193
166,7184.32746218487,-0.138689075630252,7180.81606722689,239.883462184874,7178.8651092437,119.83331092437
167,NA,NA,7175.65085714286,239.789109243697,NA,NA
168,NA,NA,7175.64692436975,239.789042016807,NA,NA
169,7187.59398319328,-0.1,7184.04107563025,239.907495798319,7181.52504201681,119.888033613445
170,7187.05280672269,-0.101680672268908,7183.49781512605,239.901478991597,7181.04521008403,119.882117647059
171,7180.23727731092,-0.16746218487395,7176.67734453781,239.81868907563,7178.20682352941,119.783731092437
172,7180.21774789916,-0.167529411764706,7176.66322689076,239.818386554622,7178.20517647059,119.783630252101
173,7183.07680672269,-0.153310924369748,7179.79989915966,239.871025210084,7178.02242016807,119.815226890756
174,7183.07529411765,-0.153310924369748,7179.79993277311,239.871025210084,7178.0214789916,119.815226890756
175,7185.4898487395,-0.122016806722689,7181.94769747899,239.895394957983,7179.75626890756,119.853109243697
176,7182.99142857143,-0.154117647058824,7179.7952605042,239.870857142857,7177.9738487395,119.814823529412
177,7182.87677310924,-0.155126050420168,7179.7908907563,239.870453781513,7177.90729411765,119.814453781513
178,7188.83778151261,-0.0970420168067227,7185.30665546218,239.931596638655,7182.65186554622,119.898857142857
179,7188.8458487395,-0.0970084033613445,7185.31411764706,239.931731092437,7182.65875630252,119.898857142857
180,7181.50174789916,-0.202352941176471,NA,NA,NA,NA
181,7184.70971428571,-0.133478991596639,7181.18097478992,239.888201680672,7179.14026890756,119.838957983193
182,NA,NA,7175.14423529412,239.774857142857,NA,NA
183,7184.70988235294,-0.133478991596639,7181.18107563025,239.888201680672,7179.14043697479,119.838957983193
184,NA,NA,7176.76258823529,239.821075630252,NA,NA
185,NA,NA,7176.70826890756,239.820268907563,NA,NA
